,instrument_key,name
0,NSE_INDEX|India VIX,India VIX
338,NSE_EQ|INE153T01027,BLS INTL SERVS LTD
339,NSE_EQ|INE0NLT01010,BLS E-SERVICES LIMITED
340,NSE_EQ|INE657B01025,BLUE CHIP INDIA LIMITED
341,NSE_EQ|INE472B01011,BLUE COAST HOTELS LIMITED
342,NSE_EQ|INE233B01017,BLUE DART EXPRESS LTD
343,NSE_EQ|INE0KBH01020,BLUE JET HEALTHCARE LTD
344,NSE_EQ|INE0SAK01011,BLUE PEBBLE LIMITED
345,NSE_EQ|INE472A01039,BLUE STAR LIMITED
346,NSE_EQ|INE0I3Y01014,BOMBAY METRICS S C LTD
347,NSE_EQ|INE338D01028,BODAL CHEMICALS LTD
348,NSE_EQ|INE802W01023,BOHRA INDUSTRIES LIMITED
349,NSE_EQ|INE032A01023,BOMBAY DYEING & MFG. CO L
350,NSE_EQ|INE02PY01013,BOROSIL LIMITED
351,NSE_EQ|INE666D01022,BOROSIL RENEWABLES LTD
352,NSE_EQ|INE02L001032,BOROSIL SCIENTIFIC LTD
353,NSE_EQ|INE323A01026,BOSCH LIMITED
354,NSE_EQ|INE029A01011,BHARAT PETROLEUM CORP  LT
355,NSE_EQ|INE110A01019,BPL LTD
356,NSE_EQ|INE791I01019,BRIGADE ENTER. LTD
357,NSE_EQ|INE684Z01010,BRIGHT SOLAR LIMITED
358,NSE_EQ|INE216A01030,BRITANNIA INDUSTRIES LTD
359,NSE_EQ|INE727S01012,BHARAT ROAD NETWORK LTD
360,NSE_EQ|INE650L01011,BROOKS LAB LIMITED
361,NSE_EQ|INE118H01025,BSE LIMITED
362,NSE_EQ|INE032Z01020,BOMBAY SUPER HYBRID SEEDS
363,NSE_EQ|INE594B01012,BSL LTD
364,NSE_EQ|INF209KB18D3,ADITYBIRLA SL GOLD ETF-GR
365,NSE_EQ|INF209K01YQ3,ADITYABIRLA - BSLIFQPIDG
366,NSE_EQ|INF209K01HR6,ABSL IIF- QP - SI-IPDP
367,NSE_EQ|INF209K01HO3,ABSL IIF- QP - SI-RPDP
368,NSE_EQ|INF209K01HN5,ABSL IIF- QP - SI-RPG
369,NSE_EQ|INF209KB19D1,ADITYBIRLA SL NIF ETF-GR
370,NSE_EQ|INE836A01035,BIRLASOFT LIMITED
371,NSE_EQ|INE0EEJ01023,BODHI TREE MULTIMEDIA LTD
